Date,month,NestID,ClutchSize,TQ,GS,RW,Territory,Year,Pair,InitDateEst,female,mean,delta
23-Oct-06,4,56,3,3,5,13.3,36,2006,109,23-Oct-06,37,71.94,-58.64
29-Jan-07,7,164,3,3,5,136,36,2006,109,29-Jan-07,37,71.94,64.06
28-Jun-07,12,125,2,3,6,63.2,36,2006,109,30-Jun-07,37,71.94,-8.74
14-Jul-07,1,129,3,3,6,63.2,36,2007,109,15-Jul-07,37,71.94,-8.74
24-Jan-08,7,211,3,3,6,174.2,36,2007,109,25-Jan-08,37,71.94,102.26
9-Mar-08,9,250,3,3,5,217.1,36,2007,109,9-Mar-08,37,71.94,145.16
1-Apr-08,10,288,2,3,6,90.8,36,2007,109,3-Apr-08,37,71.94,18.86
21-Apr-08,10,299,3,3,6,42.4,36,2007,109,22-Apr-08,37,71.94,-29.54
6-Mar-09,9,358,4,3,4,186.9,36,2008,126,6-Mar-09,37,71.94,114.96
7-Apr-09,10,385,2,3,4,7.4,36,2008,126,7-Apr-09,37,71.94,-64.54
6-Jul-09,1,403,2,3,3,0,36,2009,126,7-Jul-09,37,71.94,-71.94
2-Feb-10,8,452,3,3,3,154.5,36,2009,126,3-Feb-10,37,71.94,82.56
26-Jul-10,1,475,3,3,3,36.55,36,2010,126,26-Jul-10,37,71.94,-35.39
15-Sep-10,3,511,2,3,3,32,36,2010,126,15-Sep-10,37,71.94,-39.94
25-Sep-10,3,518,3,3,3,55.75,36,2010,126,26-Sep-10,37,71.94,-16.19
6-Jan-08,7,184,3,16,2,173.2,27,2007,39,6-Jan-08,38,173.2,0
27-Dec-07,6,163,2,18,2,204.1,9,2007,5,27-Dec-07,39,209.12,-5.02
6-Feb-08,8,214,3,18,2,242.7,9,2007,5,6-Feb-08,39,209.12,33.58
26-Feb-08,8,264,3,18,2,332.7,9,2007,5,27-Feb-08,39,209.12,123.58
6-Oct-10,4,515,3,18,2,55.45,9,2010,21,6-Oct-10,39,209.12,-153.67
6-Nov-10,5,530,2,18,2,119.1,9,2010,21,6-Nov-10,39,209.12,-90.02
7-Dec-09,6,434,2,18,3,22.6,9,2009,48,9-Dec-09,39,209.12,-186.52
7-Jan-09,7,323,3,18,2,241.7,9,2008,60,7-Jan-09,39,209.12,32.58
9-Feb-09,8,330,2,18,3,454.6,9,2008,60,9-Feb-09,39,209.12,245.48
26-Aug-07,2,135,2,17,2,0,15,2007,4,26-Aug-07,40,144.88,-144.88
5-Nov-07,5,156,3,17,2,6.6,15,2007,4,14-Nov-07,40,144.88,-138.28
